TenureMonths,CustomerAge,MonthlyCharges,TotalCharges,ChargesPerTenure,SupportTickets,ContractType,InternetService,PaymentMethod,OnlineSecurity,TechSupport,PaperlessBilling,Dependents,Churn,ClusterPersona
22,46,75.43,1657.06,75.32,0,Month-to-month,DSL,Mailed check,No,Yes,Yes,No,0,2
64,42,38.42,2490.35,38.91,0,Two year,DSL,Electronic check,No,No,No,Yes,0,0
24,52,95.44,2295.07,95.63,0,Month-to-month,Fiber optic,Credit card,Yes,Yes,No,No,1,2
18,42,26.9,463.49,25.75,2,One year,No,Bank transfer,No,No,No,No,1,1
19,66,59.52,1108.03,58.32,1,Two year,DSL,Bank transfer,Yes,Yes,Yes,Yes,0,1
30,24,102.86,3067.09,102.24,0,Month-to-month,Fiber optic,Bank transfer,Yes,No,No,No,1,2
11,35,18.5,135.44,12.31,2,Month-to-month,No,Credit card,No,No,Yes,No,0,1
15,40,97.11,1488.26,99.22,1,Two year,Fiber optic,Electronic check,No,No,Yes,No,0,2
44,47,20.58,927.21,21.07,3,Month-to-month,No,Electronic check,Yes,No,No,Yes,0,1
29,57,19.22,611.82,21.1,0,One year,No,Bank transfer,No,Yes,Yes,No,0,1
25,41,86.48,2175.24,87.01,0,Month-to-month,Fiber optic,Credit card,No,Yes,No,No,0,2
45,24,99.91,4443.23,98.74,0,Two year,Fiber optic,Bank transfer,Yes,No,Yes,Yes,0,0
12,52,58.61,708.68,59.06,0,One year,DSL,Mailed check,Yes,No,Yes,No,0,1
17,51,81.37,1389.8,81.75,0,Month-to-month,Fiber optic,Mailed check,Yes,Yes,No,No,0,2
29,18,72.59,2131.19,73.49,1,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,No,No,0,2
28,41,81.0,2330.82,83.24,1,One year,Fiber optic,Bank transfer,No,No,Yes,No,0,2
5,22,90.58,409.7,81.94,2,Month-to-month,Fiber optic,Bank transfer,No,No,Yes,No,1,2
16,34,76.58,1245.04,77.82,2,Month-to-month,Fiber optic,Electronic check,No,No,No,No,1,2
20,31,62.99,1253.84,62.69,0,One year,DSL,Credit card,Yes,Yes,Yes,No,0,1
31,51,20.72,732.11,23.62,2,Month-to-month,No,Bank transfer,Yes,No,Yes,No,0,1
28,43,104.45,2955.43,105.55,0,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,No,No,1,2
22,26,46.3,1009.43,45.88,1,One year,DSL,Electronic check,Yes,No,Yes,No,0,1
2,52,25.57,98.71,49.36,1,Month-to-month,No,Electronic check,Yes,No,No,No,0,1
22,24,70.28,1537.67,69.89,1,Month-to-month,Fiber optic,Credit card,No,No,No,Yes,1,2
24,45,106.17,2571.78,107.16,0,Month-to-month,Fiber optic,Electronic check,Yes,No,No,Yes,0,2
72,32,68.96,4951.78,68.77,1,One year,Fiber optic,Mailed check,No,Yes,Yes,No,0,0
20,37,88.14,1765.42,88.27,0,One year,Fiber optic,Mailed check,No,No,No,Yes,0,2
29,48,76.62,2266.54,78.16,1,One year,Fiber optic,Bank transfer,No,No,Yes,Yes,0,2
50,48,98.34,4904.38,98.09,0,Month-to-month,Fiber optic,Electronic check,Yes,Yes,Yes,No,0,0
39,58,66.08,2470.77,63.35,1,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,No,1,0
58,41,35.67,2042.16,35.21,3,Month-to-month,DSL,Credit card,No,No,Yes,No,0,1
6,45,26.85,213.01,35.5,2,Month-to-month,No,Bank transfer,Yes,No,Yes,Yes,1,1
9,36,49.96,505.1,56.12,2,Two year,DSL,Electronic check,No,No,Yes,Yes,0,1
14,44,18.5,233.93,16.71,2,Month-to-month,No,Electronic check,No,No,Yes,No,0,1
5,47,78.55,336.97,67.39,0,Month-to-month,Fiber optic,Credit card,No,No,Yes,No,1,2
24,40,97.62,2326.57,96.94,2,Month-to-month,Fiber optic,Electronic check,Yes,No,No,No,0,2
10,20,23.85,272.31,27.23,2,One year,No,Bank transfer,No,No,Yes,No,0,1
64,45,33.58,2141.65,33.46,1,One year,DSL,Mailed check,No,No,No,No,0,1
11,46,91.23,933.91,84.9,3,One year,Fiber optic,Credit card,No,No,Yes,Yes,1,2
17,33,100.35,1725.83,101.52,3,Two year,Fiber optic,Bank transfer,No,Yes,No,No,0,2
41,26,96.12,3976.95,97.0,1,Month-to-month,Fiber optic,Bank transfer,No,No,Yes,Yes,0,0
7,59,75.42,583.37,83.34,1,Month-to-month,Fiber optic,Electronic check,Yes,No,No,Yes,1,2
4,47,80.71,250.68,62.67,2,Month-to-month,Fiber optic,Credit card,No,Yes,Yes,No,0,2
26,39,101.92,2689.94,103.46,0,One year,Fiber optic,Mailed check,No,Yes,No,Yes,0,2
28,28,63.13,1774.28,63.37,0,One year,Fiber optic,Credit card,Yes,No,Yes,No,0,1
40,32,94.81,3769.43,94.24,0,One year,Fiber optic,Mailed check,Yes,No,No,No,0,0
34,57,85.5,2849.48,83.81,2,One year,Fiber optic,Bank transfer,No,No,No,No,0,0
29,43,19.4,497.58,17.16,0,One year,No,Electronic check,No,No,Yes,No,0,1
13,35,84.27,1068.65,82.2,2,Two year,Fiber optic,Bank transfer,Yes,Yes,Yes,No,0,2
27,48,53.26,1409.52,52.2,1,One year,DSL,Electronic check,Yes,No,No,No,0,1
29,32,63.87,1848.43,63.74,0,One year,Fiber optic,Mailed check,No,Yes,Yes,No,0,2
12,60,65.52,838.11,69.84,2,Month-to-month,DSL,Electronic check,No,No,Yes,No,1,2
72,58,61.09,4395.81,61.05,1,One year,DSL,Electronic check,Yes,No,No,No,0,0
32,36,54.34,1684.92,52.65,3,Two year,DSL,Electronic check,No,No,Yes,No,0,1
9,34,46.19,380.08,42.23,0,Month-to-month,DSL,Electronic check,Yes,No,No,No,1,1
40,18,90.25,3621.64,90.54,2,One year,Fiber optic,Credit card,Yes,No,Yes,No,0,0
45,24,51.85,2306.76,51.26,0,One year,DSL,Mailed check,No,No,Yes,No,0,1
31,25,40.99,1266.63,40.86,1,Month-to-month,DSL,Bank transfer,Yes,No,Yes,Yes,0,1
19,43,60.53,1190.46,62.66,1,One year,DSL,Electronic check,No,No,No,No,0,1
12,38,64.59,797.86,66.49,1,Month-to-month,DSL,Bank transfer,Yes,No,No,No,0,2
21,25,69.09,1431.7,68.18,0,Two year,DSL,Mailed check,No,Yes,Yes,No,0,2
30,38,95.22,2822.23,94.07,1,Two year,Fiber optic,Credit card,No,No,Yes,Yes,0,2
23,48,21.81,570.5,24.8,1,Month-to-month,No,Credit card,No,No,Yes,No,0,1
60,48,21.32,1254.96,20.92,1,Month-to-month,No,Mailed check,No,Yes,No,Yes,0,1
36,19,18.5,,20.82,1,One year,No,Bank transfer,No,No,Yes,No,0,1
11,40,41.96,518.26,47.11,0,Month-to-month,DSL,Electronic check,No,Yes,Yes,No,0,1
8,25,62.87,499.79,62.47,0,Month-to-month,DSL,Bank transfer,No,No,Yes,No,0,1
33,52,46.51,1492.29,45.22,1,One year,DSL,Electronic check,No,Yes,Yes,No,0,1
19,51,99.61,1893.94,99.68,2,Month-to-month,Fiber optic,Electronic check,No,No,Yes,Yes,0,2
38,31,60.16,2332.31,61.38,2,Month-to-month,DSL,Electronic check,No,No,Yes,No,0,1
32,32,92.19,2936.91,91.78,2,Two year,Fiber optic,Bank transfer,No,No,No,Yes,0,0
22,36,47.54,999.81,45.45,2,Two year,DSL,Mailed check,No,Yes,No,No,0,1
11,18,33.36,347.39,31.58,0,One year,DSL,Bank transfer,No,Yes,No,No,0,1
5,46,33.56,181.48,36.3,1,Two year,No,Mailed check,Yes,Yes,Yes,Yes,0,1
27,38,110.95,3012.2,111.56,1,Month-to-month,Fiber optic,Electronic check,No,No,Yes,No,0,2
7,53,116.12,815.69,116.53,2,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,Yes,No,1,2
10,28,101.76,1001.31,100.13,0,Month-to-month,Fiber optic,Credit card,Yes,No,No,Yes,1,2
26,34,18.5,476.72,18.34,2,One year,No,Credit card,No,No,Yes,No,0,1
24,23,93.97,2239.2,93.3,2,Two year,Fiber optic,Bank transfer,No,No,No,No,1,2
8,29,27.64,225.86,28.23,1,One year,No,Bank transfer,No,Yes,Yes,Yes,0,1
48,27,54.98,2648.32,55.17,2,Two year,DSL,Bank transfer,No,No,No,Yes,0,0
48,53,71.9,3442.66,71.72,0,One year,Fiber optic,Electronic check,Yes,Yes,No,No,0,0
33,33,90.86,2968.81,89.96,2,Month-to-month,Fiber optic,Electronic check,No,No,Yes,No,1,0
33,43,83.48,2798.75,84.81,1,Month-to-month,Fiber optic,Electronic check,No,No,No,Yes,0,2
33,37,19.61,657.5,19.92,2,Month-to-month,No,Electronic check,Yes,Yes,No,Yes,0,1
45,26,21.85,1008.55,22.41,1,Month-to-month,No,Mailed check,Yes,Yes,No,No,0,1
37,39,74.0,2711.86,73.29,3,One year,Fiber optic,Credit card,No,No,No,No,1,0
11,49,93.53,1025.66,93.24,5,Month-to-month,Fiber optic,Mailed check,No,No,Yes,Yes,1,2
19,27,78.25,1460.01,76.84,1,One year,Fiber optic,Bank transfer,No,No,No,No,0,2
72,51,31.82,2340.79,32.51,1,One year,No,Bank transfer,No,Yes,No,No,0,0
3,31,88.18,226.64,75.55,1,Month-to-month,Fiber optic,Electronic check,No,No,Yes,No,1,2
15,36,62.29,899.09,59.94,1,Month-to-month,DSL,Electronic check,Yes,No,Yes,No,0,1
49,48,92.49,4534.35,92.54,0,Month-to-month,Fiber optic,Mailed check,No,No,Yes,No,0,0
12,34,36.91,402.06,33.5,1,Month-to-month,DSL,Bank transfer,Yes,No,Yes,Yes,0,1
37,42,98.14,3680.6,99.48,0,Two year,Fiber optic,Credit card,No,No,No,Yes,0,0
24,38,56.74,1312.43,54.68,1,Month-to-month,DSL,Mailed check,No,Yes,Yes,No,0,1
13,43,89.41,1154.05,88.77,0,One year,Fiber optic,Credit card,No,No,Yes,No,0,2
2,18,96.88,179.16,89.58,2,Two year,Fiber optic,Mailed check,No,Yes,Yes,No,0,2
26,20,48.58,1273.51,48.98,2,Two year,DSL,Bank transfer,No,Yes,Yes,Yes,0,1
11,49,71.0,752.9,68.45,2,Two year,DSL,Bank transfer,Yes,No,Yes,No,1,2
21,54,93.1,,93.52,2,Month-to-month,Fiber optic,Electronic check,Yes,No,Yes,No,1,2
33,31,66.99,2180.41,66.07,5,Month-to-month,DSL,Electronic check,Yes,Yes,Yes,No,0,2
42,39,40.21,1653.4,39.37,1,Month-to-month,DSL,Electronic check,No,No,No,No,0,1
15,45,31.11,458.74,30.58,0,Month-to-month,No,Mailed check,No,No,Yes,Yes,0,1
13,50,83.49,1081.66,83.2,3,Two year,Fiber optic,Bank transfer,No,Yes,Yes,No,1,2
7,18,24.05,158.56,22.65,0,One year,No,Electronic check,Yes,No,Yes,No,0,1
44,31,27.33,1189.02,27.02,2,Month-to-month,No,Bank transfer,No,No,Yes,No,0,1
72,38,58.28,4244.27,58.95,1,Month-to-month,DSL,Electronic check,No,Yes,Yes,Yes,0,0
47,50,58.95,2781.05,59.17,1,Month-to-month,DSL,Bank transfer,No,No,Yes,No,0,0
54,71,52.99,2869.9,53.15,0,One year,DSL,Bank transfer,No,No,Yes,Yes,0,0
12,39,97.77,1210.84,100.9,1,One year,Fiber optic,Bank transfer,No,No,Yes,Yes,1,2
32,25,68.25,2136.35,66.76,3,Two year,Fiber optic,Mailed check,Yes,Yes,Yes,Yes,0,2
40,46,50.71,2101.18,52.53,1,Two year,DSL,Electronic check,Yes,No,No,Yes,0,1
9,57,73.45,602.27,66.92,1,Month-to-month,Fiber optic,Credit card,Yes,Yes,Yes,No,0,2
67,43,78.68,5314.83,79.33,1,Month-to-month,Fiber optic,Electronic check,Yes,No,No,No,0,0
5,31,96.01,421.24,84.25,0,Month-to-month,Fiber optic,Electronic check,Yes,Yes,No,No,0,2
60,53,20.35,1218.55,20.31,3,Month-to-month,No,Electronic check,Yes,No,No,Yes,0,1
5,49,91.27,434.69,86.94,4,Two year,Fiber optic,Bank transfer,Yes,No,Yes,Yes,0,2
9,29,30.07,324.05,36.01,0,One year,No,Bank transfer,No,Yes,No,No,0,1
32,46,65.69,2129.12,66.54,2,One year,Fiber optic,Bank transfer,No,Yes,Yes,Yes,0,2
24,53,86.74,2071.73,86.32,2,Month-to-month,Fiber optic,Mailed check,No,Yes,Yes,Yes,0,2
17,56,25.34,449.4,26.44,1,Month-to-month,No,Electronic check,Yes,Yes,Yes,Yes,0,1
65,41,27.83,1818.92,27.98,0,Month-to-month,No,Credit card,Yes,No,No,No,0,1
7,37,47.31,355.73,50.82,1,One year,DSL,Mailed check,Yes,No,Yes,No,0,1
20,56,63.0,1253.04,62.65,0,One year,DSL,Mailed check,No,No,No,No,0,2
35,27,83.35,2892.91,82.65,1,Month-to-month,Fiber optic,Bank transfer,No,No,Yes,No,1,0
28,47,98.61,2685.13,95.9,3,One year,Fiber optic,Electronic check,Yes,No,No,No,1,2
13,25,104.27,1343.51,103.35,3,Two year,Fiber optic,Electronic check,No,Yes,No,No,1,2
14,54,18.5,263.7,18.84,3,Month-to-month,No,Mailed check,No,Yes,No,Yes,1,1
42,38,59.28,2454.78,58.45,1,One year,DSL,Electronic check,No,No,Yes,No,0,0
43,57,95.91,4121.35,95.85,1,Month-to-month,Fiber optic,Electronic check,Yes,No,No,Yes,1,0
29,47,52.96,1574.83,54.3,1,One year,DSL,Credit card,No,No,No,No,0,1
11,27,18.5,206.62,18.78,1,One year,No,Mailed check,No,No,Yes,Yes,0,1
14,59,20.77,264.9,18.92,0,Two year,No,Mailed check,No,No,Yes,No,0,1
22,60,95.47,2132.66,96.94,1,Month-to-month,Fiber optic,Bank transfer,No,Yes,No,No,0,2
25,52,35.07,884.33,35.37,2,Month-to-month,DSL,Credit card,No,Yes,Yes,No,0,1
34,32,66.1,2253.93,66.29,2,Month-to-month,Fiber optic,Electronic check,Yes,No,No,No,1,2
19,38,91.19,1717.58,90.4,2,Month-to-month,Fiber optic,Credit card,No,No,Yes,No,1,2
41,43,75.74,3061.06,74.66,1,One year,Fiber optic,Bank transfer,No,Yes,Yes,No,0,0
41,33,23.12,956.25,23.32,1,Two year,No,Electronic check,No,No,Yes,Yes,0,1
55,62,33.56,1858.53,33.79,1,Month-to-month,No,Electronic check,No,No,Yes,No,0,1
23,43,71.97,1630.27,70.88,1,Month-to-month,Fiber optic,Mailed check,No,No,Yes,Yes,1,2
29,18,76.03,2210.31,76.22,2,Month-to-month,Fiber optic,Bank transfer,No,Yes,No,No,1,2
21,46,76.87,1646.95,78.43,0,Month-to-month,DSL,Electronic check,No,No,Yes,No,1,2
11,37,98.3,,95.06,2,Month-to-month,Fiber optic,Mailed check,No,No,No,No,1,2
72,41,79.98,5773.1,80.18,2,Month-to-month,Fiber optic,Bank transfer,No,Yes,No,No,0,0
51,37,42.85,2182.08,42.79,0,One year,DSL,Mailed check,No,No,Yes,No,0,1
40,51,56.82,2306.52,57.66,2,Month-to-month,DSL,Credit card,No,No,Yes,No,1,1
23,55,45.41,1082.1,47.05,1,One year,DSL,Credit card,Yes,No,Yes,No,0,1
10,45,50.36,505.8,50.58,1,Two year,DSL,Mailed check,Yes,Yes,Yes,No,0,1
45,37,106.04,4771.84,106.04,0,Month-to-month,Fiber optic,Credit card,No,No,Yes,No,0,0
20,41,87.61,1744.33,87.22,0,One year,Fiber optic,Electronic check,Yes,Yes,Yes,No,0,2
31,42,73.62,2245.27,72.43,1,One year,Fiber optic,Electronic check,No,No,No,No,0,2
14,32,85.93,1216.74,86.91,3,One year,Fiber optic,Mailed check,No,No,Yes,No,1,2
28,48,95.19,2667.35,95.26,0,Month-to-month,Fiber optic,Bank transfer,No,No,Yes,No,0,2
15,47,85.17,1251.17,83.41,1,Month-to-month,Fiber optic,Bank transfer,No,No,No,No,0,2
15,60,72.62,1020.48,68.03,3,Two year,Fiber optic,Mailed check,No,No,No,No,1,2
27,57,26.07,723.14,26.78,3,One year,No,Electronic check,No,No,No,No,0,1
5,33,66.82,321.66,64.33,2,Month-to-month,Fiber optic,Electronic check,Yes,No,No,No,1,2
6,51,119.84,743.02,123.84,1,Month-to-month,Fiber optic,Credit card,No,Yes,Yes,No,1,2
12,30,56.62,631.68,52.64,2,Month-to-month,DSL,Credit card,No,Yes,No,Yes,1,1
19,50,100.56,1913.17,100.69,0,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,No,No,1,2
42,35,20.98,879.93,20.95,1,One year,No,Bank transfer,No,No,Yes,No,0,1
20,29,24.44,481.5,24.08,1,Month-to-month,No,Bank transfer,No,No,Yes,Yes,0,1
23,45,25.42,640.03,27.83,0,Month-to-month,No,Electronic check,No,No,Yes,No,0,1
18,18,63.58,1150.03,63.89,1,One year,DSL,Mailed check,Yes,Yes,Yes,No,1,1
29,20,86.66,2452.61,84.57,1,Month-to-month,Fiber optic,Bank transfer,No,No,Yes,No,1,2
11,39,98.19,1066.04,96.91,2,One year,Fiber optic,Mailed check,Yes,Yes,No,No,0,2
21,42,86.08,1751.15,83.39,0,One year,Fiber optic,Electronic check,No,No,Yes,Yes,1,2
31,37,56.26,1793.69,57.86,0,Month-to-month,DSL,Credit card,No,No,Yes,Yes,1,1
27,23,25.23,689.93,25.55,2,One year,No,Credit card,No,Yes,Yes,No,0,1
23,32,23.13,526.49,22.89,1,One year,No,Electronic check,No,No,No,Yes,0,1
23,46,83.55,1872.34,81.41,1,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,Yes,Yes,1,2
33,48,45.73,1515.12,45.91,4,Month-to-month,DSL,Credit card,Yes,No,Yes,No,0,1
72,41,48.18,3505.84,48.69,1,One year,DSL,Electronic check,Yes,No,No,No,0,0
12,55,72.3,888.27,74.02,2,Two year,Fiber optic,Mailed check,No,No,Yes,No,0,2
72,46,51.23,3707.78,51.5,1,One year,DSL,Mailed check,No,No,Yes,Yes,0,0
11,33,19.18,261.21,23.75,1,Month-to-month,No,Mailed check,Yes,No,Yes,Yes,0,1
2,38,98.56,250.61,125.31,0,One year,Fiber optic,Credit card,Yes,No,No,No,0,2
15,25,76.56,1152.19,76.81,1,Month-to-month,Fiber optic,Mailed check,No,No,No,No,1,2
30,40,102.59,3098.3,103.28,2,One year,Fiber optic,Electronic check,No,No,Yes,No,0,2
72,55,25.12,1868.78,25.96,5,One year,DSL,Electronic check,Yes,Yes,Yes,No,0,1
10,50,26.88,233.67,23.37,2,One year,No,Electronic check,Yes,No,No,No,0,1
33,58,80.78,2682.53,81.29,3,Two year,Fiber optic,Mailed check,Yes,Yes,No,No,0,2
6,38,30.05,144.51,24.09,2,One year,No,Bank transfer,No,Yes,No,No,0,1
72,58,83.81,6021.16,83.63,0,One year,Fiber optic,Electronic check,Yes,Yes,No,No,0,0
51,39,96.15,4950.47,97.07,1,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,Yes,No,0,0
15,59,46.15,662.69,44.18,5,Two year,DSL,Bank transfer,No,Yes,No,No,0,1
57,41,89.95,5165.22,90.62,1,Two year,Fiber optic,Electronic check,No,Yes,No,No,0,0
21,50,86.87,1802.96,85.86,1,Month-to-month,Fiber optic,Bank transfer,Yes,No,No,Yes,1,2
53,59,80.03,4279.99,80.75,2,Month-to-month,Fiber optic,Bank transfer,No,Yes,No,No,0,0
23,39,103.36,2428.42,105.58,1,Month-to-month,Fiber optic,Mailed check,No,Yes,Yes,Yes,0,2
24,44,33.83,780.24,32.51,0,One year,DSL,Electronic check,No,No,No,No,0,1
16,57,23.8,403.05,25.19,0,One year,No,Bank transfer,Yes,Yes,No,No,0,1
36,40,18.5,704.83,19.58,1,Month-to-month,No,Credit card,No,Yes,No,Yes,0,1
25,26,60.32,1492.84,59.71,0,Two year,DSL,Mailed check,No,No,Yes,No,0,1
33,67,26.66,899.83,27.27,1,Month-to-month,No,Mailed check,Yes,Yes,No,Yes,0,1
5,36,30.41,110.23,22.05,3,Two year,DSL,Mailed check,No,Yes,No,No,0,1
54,43,80.44,4420.38,81.86,0,Month-to-month,Fiber optic,Electronic check,No,No,Yes,No,0,0
64,55,64.86,,64.45,0,Month-to-month,DSL,Bank transfer,No,No,No,No,0,0
25,34,18.95,463.6,18.54,2,Month-to-month,No,Electronic check,Yes,No,No,No,0,1
72,29,59.0,4243.31,58.93,0,Month-to-month,DSL,Electronic check,Yes,No,Yes,No,0,0
71,45,100.35,7127.56,100.39,1,One year,Fiber optic,Mailed check,No,No,Yes,Yes,1,0
37,20,93.83,3487.25,94.25,1,One year,Fiber optic,Electronic check,Yes,No,Yes,No,0,0
57,38,70.26,4019.86,70.52,1,Month-to-month,DSL,Mailed check,No,Yes,Yes,No,0,0
48,44,102.21,4867.06,101.4,1,Month-to-month,Fiber optic,Electronic check,Yes,No,Yes,No,1,0
3,38,53.63,117.19,39.06,0,Month-to-month,DSL,Electronic check,No,Yes,Yes,No,0,1
18,23,59.86,1136.96,63.16,0,One year,Fiber optic,Credit card,No,No,Yes,Yes,1,1
38,61,28.69,1130.62,29.75,1,One year,No,Credit card,Yes,No,Yes,Yes,0,1
66,43,76.02,4971.87,75.33,1,Month-to-month,Fiber optic,Electronic check,No,No,Yes,No,0,0
6,59,22.92,151.41,25.23,0,One year,No,Mailed check,No,No,No,Yes,0,1
4,38,97.12,416.94,104.23,2,Month-to-month,Fiber optic,Electronic check,Yes,No,Yes,No,1,2
22,31,57.81,1343.97,61.09,2,Two year,DSL,Mailed check,Yes,Yes,No,No,0,1
2,45,89.51,162.4,81.2,1,Two year,Fiber optic,Mailed check,Yes,Yes,Yes,No,0,2
21,39,67.25,1447.92,68.95,0,One year,DSL,Electronic check,Yes,No,Yes,Yes,0,2
30,27,21.56,672.22,22.41,1,Two year,No,Bank transfer,No,No,Yes,No,0,1
10,59,50.6,481.87,48.19,0,Two year,DSL,Electronic check,No,No,No,Yes,0,1
22,34,27.45,591.9,26.9,3,Two year,No,Electronic check,Yes,No,No,No,0,1
45,19,40.6,1800.79,40.02,2,One year,DSL,Bank transfer,Yes,No,No,No,0,1
15,57,81.13,1229.55,81.97,1,Month-to-month,Fiber optic,Bank transfer,Yes,No,Yes,Yes,1,2
11,35,51.24,509.53,46.32,0,Month-to-month,DSL,Mailed check,No,No,No,Yes,1,1
21,34,51.13,1066.18,50.77,1,Month-to-month,DSL,Mailed check,Yes,No,Yes,Yes,0,1
9,20,86.37,,84.98,0,One year,Fiber optic,Mailed check,No,No,No,No,1,2
72,62,32.48,2266.74,31.48,1,Month-to-month,DSL,Mailed check,Yes,No,Yes,No,0,0
23,26,80.46,1861.4,80.93,4,Month-to-month,Fiber optic,Mailed check,No,No,Yes,No,1,2
12,42,78.71,968.27,80.69,4,Month-to-month,Fiber optic,Mailed check,Yes,No,Yes,No,1,2
27,52,66.95,1756.97,65.07,0,Month-to-month,DSL,Mailed check,No,No,No,No,1,2
21,47,27.8,583.82,27.8,3,One year,No,Bank transfer,No,No,Yes,Yes,1,1
19,41,96.67,1788.58,94.14,1,Two year,Fiber optic,Bank transfer,No,No,Yes,Yes,0,2
14,21,61.86,870.31,62.16,2,One year,Fiber optic,Mailed check,No,No,Yes,No,1,1
14,32,102.91,1481.73,105.84,1,One year,Fiber optic,Mailed check,No,No,No,Yes,1,2
